TANK	DATES	Sca_ug	e_chl	i_chl
39	2005-06-03	910.6847211	62.18	22.23
39	2005-06-08	1137.821404	1.43	0.25
39	2005-06-13	294.4333648	2.31	0.19
39	2005-06-17	209.9792071	6.06	0.42
39	2005-06-22	2184.074508	1.97	0.15
39	2005-06-27	1320.575579	1.97	0.15
39	2005-07-01	387.3185089	4.34	0.04
39	2005-07-06	260.3617859	6.12	0.11
39	2005-07-11	143.3024862	32.04	0.005
39	2005-07-15	53.48612509	27.61	2.48
39	2005-07-20	0.113512244	32.13	1.22
39	2005-07-25	0.028378061	130.13	6.05
39	2005-07-29	0.028378061	109.79	7.12
39	2005-08-03	0.113512244	67.09	1.86
39	2005-08-08	0.438246791	193.2	12.65
39	2005-08-12	0.028378061	164.07	15.91
39	2005-08-17	0.113512244	118.16	15.02
39	2005-08-22	0.340536733	169.99	21.83
39	2005-08-26	0.056756122	143.62	10.59
39	2005-08-31	2.329897948	96.27	5.05
39	2005-09-05	0.028378061	185.78	4.41
39	2005-09-09	0.028378061	197.78	6.49
39	2005-09-14	0.028378061	154.74	3.84
39	2005-09-19	0.028378061	201.02	3.31
56	2005-05-25	28.5766401	30.41	0.005
56	2005-05-30	76.80762136	89.25	25.18
56	2005-06-03	512.2744102	44.5	3.52
56	2005-06-08	1211.983077	30.25	0.71
56	2005-06-13	3548.374668	1.57	0.16
56	2005-06-17	776.9399172	1.53	0.33
56	2005-06-22	553.0305758	1.02	0.05
56	2005-06-27	416.9812855	1.02	0.05
56	2005-07-01	529.265166	4.03	0.37
56	2005-07-06	973.7864803	2.14	0.93
56	2005-07-11	786.3854003	1.15	0.005
56	2005-07-15	1293.304194	1.43	0.06
56	2005-07-20	679.2403816	1.64	0.03
56	2005-07-25	1528.377243	5.5	0.01
56	2005-07-29	1006.722398	10.38	1.37
56	2005-08-03	413.3667992	50.47	6.32
56	2005-08-08	154.0100354	96.65	2.58
56	2005-08-12	43.82467909	123.08	2.1
56	2005-08-17	40.11972896	162.99	0.005
56	2005-08-22	12.10064178	145.93	8.94
56	2005-08-26	5.088693124	118.05	17.28
56	2005-08-31	30.60471705	105.52	9.31
56	2005-09-05	17.92716449	108.82	0.28
56	2005-09-09	22.56180864	99.88	8.29
56	2005-09-14	9.956814382	127.16	6.1
56	2005-09-19	15.32573243	106.55	7.88
73	2005-05-25	38.64341105	142.51	26.8
73	2005-05-30	186.4701881	85.16	6.28
73	2005-06-03	127.0186143	102.75	6.35
73	2005-06-08	1106.383513	11.56	0.19
73	2005-06-13	570.9396999	0.9	0.005
73	2005-06-17	433.8506242	2.18	0.19
73	2005-06-22	730.1560279	1.88	0.21
73	2005-06-27	117.6397662	1.88	0.21
73	2005-07-01	25.35510513	23.7	0.005
73	2005-07-06	86.06018675	4.9	0.84
73	2005-07-11	386.8181089	3.75	9.44
73	2005-07-15	1344.869834	3.38	0.09
73	2005-07-20	1180.927612	2.11	0.005
73	2005-07-25	1676.180186	1.45	0.74
73	2005-07-29	1143.478572	1.86	0.34
73	2005-08-03	502.0222274	3.67	0.86
73	2005-08-08	708.9084281	2.75	0.46
73	2005-08-12	39.42930593	2.56	0.17
73	2005-08-17	5.567893851	9.39	37.16
73	2005-08-22	0.706225215	8.46	1.43
73	2005-08-26	0.056756122	5.35	0.65
73	2005-08-31	0.028378061	8.29	12.08
73	2005-09-05	0.028378061	24.82	4319.27
73	2005-09-09	0.028378061	125.75	2808.73
73	2005-09-14	0.028378061	315.54	4642.95
73	2005-09-19	0.028378061	34.79	48.66
84	2005-05-25	3.247345466	16.06	1.21
84	2005-05-30	22.0000413	60.62	1.1
84	2005-06-03	59.62829477	102.75	5.98
84	2005-06-08	40.44736045	102.75	9.51
84	2005-06-13	60.17136298	77.15	8.31
84	2005-06-17	146.1015766	71.66	0.66
84	2005-06-22	402.1525322	22.64	0.11
84	2005-06-27	971.8796781	22.64	0.11
84	2005-07-01	471.7895243	5.05	0.89
84	2005-07-06	1620.105676	5.28	0.18
84	2005-07-11	901.6674895	26.08	3.19
84	2005-07-15	1033.17102	18.68	3.12
84	2005-07-20	439.4203595	91.16	2.85
84	2005-07-25	171.8907141	120.71	16.18
84	2005-07-29	405.532089	133.79	31.41
84	2005-08-03	92.98311617	88.46	30.81
84	2005-08-08	56.47352422	109.6	16.62
84	2005-08-12	35.92622855	70.47	1.34
84	2005-08-17	492.4461178	91.99	6.87
84	2005-08-22	1803.210012	57.55	8.49
84	2005-08-26	462.878111	46.13	3.88
84	2005-08-31	924.926385	62.62	2.76
84	2005-09-05	996.4290989	75.27	0.67
84	2005-09-09	231.8172741	77.08	2.48
84	2005-09-14	83.62612612	80.32	4.26
84	2005-09-19	50.42866784	85.21	6.99
102	2005-05-25	28.90137465	59.26	9.34
102	2005-05-30	148.8390376	127.16	0.005
102	2005-06-03	1104.947618	54.83	5.53
102	2005-06-08	2420.618216	1.68	0.07
102	2005-06-13	307.6845344	1.71	0.13
102	2005-06-17	320.6739163	1.95	0.16
102	2005-06-22	1159.032115	1.64	0.14
102	2005-06-27	872.4608577	1.64	0.14
102	2005-07-01	467.0141051	5.91	0.98
102	2005-07-06	931.2291198	9.12	0.34
102	2005-07-11	589.6252345	8.13	0.59
102	2005-07-15	605.2925592	6.56	1.03
102	2005-07-20	593.2860718	2.59	0.005
102	2005-07-25	817.0078958	3.57	0.48
102	2005-07-29	1188.997251	2.96	0.19
102	2005-08-03	886.7144145	5.5	0.83
102	2005-08-08	641.9156634	66.99	5.77
102	2005-08-12	484.5776921	94.66	4.77
102	2005-08-17	321.2338422	114.53	12.26
102	2005-08-22	215.8742047	225.62	0.19
102	2005-08-26	110.5145673	186.37	15.92
102	2005-08-31	502.0622606	104.35	7.82
102	2005-09-05	1401.852441	111.78	7.12
102	2005-09-09	3411.572143	118.05	13.88
102	2005-09-14	439.293942	137.28	15.96
102	2005-09-19	747.0790834	217.71	30.43
