tank	DATES	FLUCT	Cer_ug	Dapp_ug	e_chl	i_chl
31	2005/06/27	168	0.821267351	127.2140736	1.48	0.04
31	2005/07/01	133	0.821267351	386.947995	3.17	0.005
31	2005/07/06	99	106.0469627	650.5973141	2.64	0.49
31	2005/07/11	167	0.022447037	0.902831601	1.69	0.38
31	2005/07/15	132	0.022447037	179.4966657	2.29	0.51
31	2005/07/20	99	3.285069405	261.3384032	2.19	0.04
31	2005/07/25	167	6.839503256	200.6889461	10.87	0.07
31	2005/07/29	131	8.34076873	121.3214058	3.73	0.86
31	2005/08/03	99	36.77502458	279.5441505	2.98	0.01
31	2005/08/08	167	262.5684202	604.3552625	4.72	0.27
31	2005/08/12	131	328.1810446	139.3413802	3.8	0.8
31	2005/08/17	99	530.935978	172.0374163	3.11	0.61
31	2005/08/22	166	617.1021554	806.7978057	3.05	0.23
31	2005/08/26	131	755.8675598	799.2485901	3.43	0.22
31	2005/08/31	99	545.2029551	775.9170007	2.44	0.44
31	2005/09/05	166	367.011858	621.8770673	2.7	0.69
31	2005/09/09	131	213.7042278	318.2132526	2.37	0.52
31	2005/09/14	99	447.2481821	354.2673675	2.49	0.16
31	2005/09/19	166	90.18253547	61.31090819	2.04	0.31
32	2005/05/25	150	0.022447037	0.902831601	32.08	0.005
32	2005/05/30	150	0.022447037	1.805663202	64.38	3.27
32	2005/06/03	150	0.022447037	0.902831601	127.63	2.28
32	2005/06/08	150	0.022447037	3.797099337	97.51	8.85
32	2005/06/13	150	0.022447037	3.611326405	52.32	3.13
32	2005/06/17	150	4.561864506	1.805663202	47.26	0.9
32	2005/06/22	150	0.022447037	0.902831601	35.31	0.82
32	2005/06/27	150	0.022447037	0.902831601	35.31	0.82
32	2005/07/01	150	23.69403001	1.805663202	14.61	11.69
32	2005/07/06	150	59.26765867	650.5973141	21.28	4.25
32	2005/07/11	150	0.022447037	0.902831601	29.43	155.66
32	2005/07/15	150	171.627867	0.902831601	7.49	5.92
32	2005/07/20	150	211.8821168	0.902831601	32.76	17.44
32	2005/07/25	150	169.5617151	7.22265281	10.26	0.17
32	2005/07/29	150	28.92930563	0.902831601	165.58	33.27
32	2005/08/03	150	137.5562065	0.902831601	160.5	43.01
32	2005/08/08	150	66.36699724	3.611326405	12.3	40.88
32	2005/08/12	150	65.32663157	0.902831601	27.5	5.14
32	2005/08/17	150	285.3794699	0.902831601	4.01	1.17
32	2005/08/22	150	229.9541556	0.902831601	5.45	0.35
32	2005/08/26	150	233.0638058	0.902831601	4.11	1.22
32	2005/08/31	150	325.9807227	3.611326405	43.42	106.91
32	2005/09/05	150	315.831017	0.902831601	5.36	0.31
32	2005/09/09	150	327.1299348	0.902831601	36.36	337.65
32	2005/09/14	150	911.7259692	0.902831601	19.07	16.48
32	2005/09/19	150	145.2020759	21.85373136	9.2	1.02
41	2005/05/25	150	0.410633676	0.902831601	124.32	13.39
41	2005/05/30	150	0.022447037	0.902831601	109.2	9.43
41	2005/06/03	150	0.022447037	5.602762539	153.24	5.48
41	2005/06/08	150	0.45552775	12.32016267	54.04	0.09
41	2005/06/13	150	5.247234674	1408.301484	2.82	0.42
41	2005/06/17	150	1.449784395	733.6082401	1.81	0.36
41	2005/06/22	150	0.359152596	443.7033036	1	0.27
41	2005/06/27	150	3.419751628	297.7415724	1	0.27
41	2005/07/01	150	11.09248129	443.2276255	1.73	0.08
41	2005/07/06	150	10.25266788	869.090887	8.11	0.005
41	2005/07/11	150	1108.686625	0.902831601	1.87	0.09
41	2005/07/15	150	0.022447037	796.3945215	2.29	0.2
41	2005/07/20	150	3.285069405	673.8176882	2.49	0.65
41	2005/07/25	150	0.718305193	809.7701726	2.17	0.33
41	2005/07/29	150	2.82295465	421.3514026	1.84	0.44
41	2005/08/03	150	34.95291358	1064.673998	1.98	1.18
41	2005/08/08	150	101.5258351	476.5767871	1.78	0.78
41	2005/08/12	150	124.494973	329.151364	3.56	0.005
41	2005/08/17	150	424.017994	245.9867245	1.76	0.92
41	2005/08/22	150	112.1347135	111.4458659	1.84	0.64
41	2005/08/26	150	98.17316852	157.6204428	1.46	0.5
41	2005/08/31	150	104.2799776	156.1046848	2.85	12.51
41	2005/09/05	150	45.30975858	0.902831601	1.7	0.31
41	2005/09/09	150	64.96332188	69.61862401	9.89	87.62
41	2005/09/14	150	109.9390609	216.9624064	5.77	6.02
41	2005/09/19	150	183.0755343	212.7416951	36.04	1573.98
58	2005/05/25	150	0.022447037	5.416989607	72.86	2.48
58	2005/05/30	150	0.022447037	0.902831601	144.44	21.28
58	2005/06/03	150	0.022447037	30.24308788	145.68	26.11
58	2005/06/08	150	0.044894075	194.6638139	34.95	6.04
58	2005/06/13	150	0.022447037	1446.911437	1.79	0.3
58	2005/06/17	150	0.044894075	469.8818785	2.39	0.41
58	2005/06/22	150	0.955949575	624.5453629	2.09	8.56
58	2005/06/27	150	2.598484277	356.8681885	2.09	8.56
58	2005/07/01	150	2.688272426	455.1691593	3.44	70.43
58	2005/07/06	150	0.022447037	992.2533713	3.46	0.15
58	2005/07/11	150	0.022447037	0.902831601	6	104.83
58	2005/07/15	150	12.9343533	105.9922186	2.37	3.67
58	2005/07/20	150	121.4948719	215.3733331	5.06	24.47
58	2005/07/25	150	157.1348829	551.0042582	2	2.34
58	2005/07/29	150	101.4994871	266.1684994	51.33	439.17
58	2005/08/03	150	100.4747254	228.9855809	2.18	24.61
58	2005/08/08	150	124.2148644	108.5480566	2.45	0.005
58	2005/08/12	150	26.67679994	89.64420063	3.51	9.67
58	2005/08/17	150	27.99190211	65.42748727	2.49	9
58	2005/08/22	150	14.82770639	67.36685729	1.5	0.45
58	2005/08/26	150	5.428025931	34.78327894	1.4	0.75
58	2005/08/31	150	7.936722059	74.64157621	5.67	51.03
58	2005/09/05	150	0.022447037	57.46174273	7.26	97.95
58	2005/09/09	150	0.821267351	7.965744538	13.17	427.75
58	2005/09/14	150	0.45552775	52.38672441	13.36	1563.42
58	2005/09/19	150	1.321689176	58.39060739	29.17	316.28
