TANK	DATES	FLUCT	Cer_ug	Sca_ug	Clad_ug	e_chl	i_chl
33	2005/09/09	131.2617984	38.79768786	15.60951305	7.659129676	6.59	6589.85
33	2005/09/14	98.59848548	256.6375425	10.063874	14.098221	46.33	9953.12
33	2005/09/19	166.4172417	202.2182534	0.454048977	0.0339	27.85	3417.76
46	2005/05/25	150	0.022	18.59822965	0.0339	80.32	12.84
46	2005/05/30	150	0.022	51.30516142	0.067779909	42.44	8.63
46	2005/06/03	150	0.022	2599.496625	2.168957076	25.43	0.95
46	2005/06/08	150	0.022	2768.007782	0.0339	2.26	0.005
46	2005/06/13	150	0.022	535.2889503	2.711196345	1.96	0.17
46	2005/06/17	150	3.644222001	165.5082179	2.168957076	8.67	0.49
46	2005/06/22	150	41.54940041	538.1939176	2.440076711	5.27	0.26
46	2005/06/27	150	238.4739884	80.16913782	2.440076711	5.27	0.26
46	2005/07/01	150	115.45809	68.19135784	0.0339	2.16	0.11
46	2005/07/06	150	509.5878867	61.69376997	13.55598173	6.01	0.15
46	2005/07/11	150	2274.474415	108.4555447	39.04122737	13.46	0.53
46	2005/07/15	150	3860.290642	150.1248086	17.35165661	5.08	2.4
46	2005/07/20	150	2532.146439	32.99071238	19.52061369	11.32	0.26
46	2005/07/25	150	3811.445888	3.632391817	43.37914153	8.76	0.49
46	2005/07/29	150	2343.451153	97.15594124	4.337914153	8.05	0.005
46	2005/08/03	150	2675.252882	117.9389522	4.337914153	3.1	0.47
46	2005/08/08	150	2164.640234	93.52354942	0.0339	7.93	0.005
46	2005/08/12	150	50.30080282	968.1798555	3.253435615	4.36	0.005
46	2005/08/17	150	540.8009058	81.568683	80.25141183	8.69	1.38
46	2005/08/22	150	597.3126949	60.837293	31.99211688	99.63	2623.98
46	2005/08/26	150	444.4252275	83.87632614	4.337914153	10.57	5.9
46	2005/08/31	150	179.4432713	78.89601012	15.18269953	16.43	1016.64
46	2005/09/05	150	245.0919634	109.6164776	15.18269953	22.56	67.33
46	2005/09/09	150	239.9057389	43.30742136	36.33003103	10.35	1218.35
46	2005/09/14	150	118.9017597	17.01261391	13.01374246	39.14	9960.31
46	2005/09/19	150	33.27987378	9.537266718	10.70922556	12.4	310.44
70	2005/05/25	150	0.022	16.14546989	0.0339	38.42	1.83
70	2005/05/30	150	0.022	181.4424655	0.067779909	68.8	3.01
70	2005/06/03	150	13.14027762	3039.169819	0.0339	91.23	4.11
70	2005/06/08	150	0.022	2247.3211	0.0339	52.08	1.45
70	2005/06/13	150	0.022	1077.744712	0.0339	53.03	1.55
70	2005/06/17	150	1.36658325	52.15650325	0.135559817	82.98	5.33
70	2005/06/22	150	0.821267351	73.74344951	0.135559817	70.31	2.01
70	2005/06/27	150	11.85689551	479.247617	0.0339	70.31	2.01
70	2005/07/01	150	0.022	2022.76807	0.0339	28.73	10.28
70	2005/07/06	150	20.37602558	1176.567256	0.0339	4.45	3.55
70	2005/07/11	150	422.1792547	52.41157643	0.0339	2.29	0.28
70	2005/07/15	150	969.4351876	43.05458639	0.0339	2.86	0.2
70	2005/07/20	150	343.9505021	14.93199526	0.0339	4.71	0.22
70	2005/07/25	150	90.13348431	43.56025634	0.0339	39.76	5.2
70	2005/07/29	150	53.63856826	55.64154025	0.0339	93.16	0.005
70	2005/08/03	150	94.15834709	29.61115554	0.542239269	79.66	18.05
70	2005/08/08	150	136.9696414	19.26995355	2.846756163	83.62	28.9
70	2005/08/12	150	207.667958	69.74023407	9.760306844	97.43	2.37
70	2005/08/17	150	180.5734252	95.59258031	10.30254611	116.45	7.41
70	2005/08/22	150	34.80627231	24.74369303	1.287818264	118.7	10.1
70	2005/08/26	150	15.86685711	42.61989528	2.846756163	114.14	39.23
70	2005/08/31	150	1.456371399	30.46249738	4.134574427	104.94	17.09
70	2005/09/05	150	6.06312998	19.52858241	12.74262282	51.89	76.33
70	2005/09/09	150	1.501265474	27.19934972	14.43712054	104.82	4.47
70	2005/09/14	150	2.502109123	4.253153478	15.38603926	98.75	4.09
70	2005/09/19	150	2.232744676	1.412450431	13.352642	89.35	5.12
74	2005/05/25	161.0127787	0.022	7.809431305	0.0339	27.37	7.23
74	2005/05/30	119.9494001	0.022	40.93880768	0.0339	32.21	5.06
74	2005/06/03	206.9790244	1.732322851	99.55971498	0.406679452	19.26	4.29
74	2005/06/08	152.9372674	0.022	1281.509461	0.0339	4.54	0.31
74	2005/06/13	114.1539759	0.022	2062.414654	0.0339	1.87	0.005
74	2005/06/17	202.5345809	3.285069405	1112.954048	0.0339	2.05	0.005
74	2005/06/22	149.747694	25.15040141	910.1237473	0.542239269	1.92	0.24
74	2005/06/27	111.8649653	176.9292032	480.5839534	0.0339	1.92	0.24
74	2005/07/01	200.7791652	1537.920002	10.39150549	2.168957076	4.11	0.005
74	2005/07/06	148.4879127	370.0299928	40.16647678	2.440076711	2.47	0.32
74	2005/07/11	110.960878	739.6793449	27.5047264	23.04516894	1.87	0.03
74	2005/07/15	188.2403208	508.9749735	56.04396825	22.23181003	2.01	0.18
74	2005/07/20	147.9903386	899.4766644	18.3115521	15.18269953	2.35	0.19
74	2005/07/25	110.6037919	517.7000279	32.5366634	2.711196345	1.64	0.67
74	2005/07/29	187.9840565	642.3745772	39.54861206	2.168957076	2.43	0.79
74	2005/08/03	147.7938125	300.4521104	35.42477301	0.813358904	6.62	0.74
74	2005/08/08	110.4627541	237.9830957	68.12525216	1.084478538	14.81	4.39
74	2005/08/12	187.8828401	577.0323417	100.0066526	0.542239269	27.07	1.86
74	2005/08/17	147.7161908	246.3011613	73.93886963	2.711196345	101.78	7.92
74	2005/08/22	110.4070486	185.2687569	44.7443648	1.626717807	67.2	7.03
74	2005/08/26	187.8428628	17.65603309	106.426547	2.711196345	64.59	6.12
74	2005/08/31	147.6855327	139.2992735	21.19966171	1.626717807	128.99	11.22
74	2005/09/05	110.3850467	276.5060471	62.27423644	4.337914153	114.53	4.1
74	2005/09/09	199.6442328	285.2574495	37.53120215	2.440076711	92.94	4.57
74	2005/09/14	166.4200324	2.001687299	0.454048977	0.271119635	147.86	4.55
74	2005/09/19	131.2566128	464.7700452	21.69110894	2.168957076	144.32	1.2
88	2005/05/25	161.0127787	0.022	54.10491053	0.0339	36.68	6.6
88	2005/05/30	119.9494001	0.022	204.0258702	0.0339	88.31	0.005
88	2005/06/03	206.9790244	0.022	1431.112266	0.813358904	11.15	0.005
88	2005/06/08	152.9372674	0.022	2331.228536	0.0339	1.45	0.19
88	2005/06/13	114.1539759	0.359152596	29.48473805	0.542239269	4.88	0.63
88	2005/06/17	202.5345809	10.932666	324.1424924	0.542239269	27.76	1.19
88	2005/06/22	149.747694	0.022	0.028	0.0339	12.01	0.77
88	2005/06/27	111.8649653	1203.963357	1511.112842	2.168957076	12.01	0.77
88	2005/07/01	200.7791652	448.6345264	6.721715421	0.542239269	1.69	0.42
88	2005/07/06	148.4879127	214.6548053	12.82556612	1.355598173	1.64	0.13
88	2005/07/11	110.960878	334.1479899	64.87211281	0.0339	1.37	0.16
88	2005/07/15	188.2403208	452.8750331	55.58991927	2.168957076	1.44	0.56
88	2005/07/20	147.9903386	728.2509264	62.60186793	3.795674884	1.7	0.005
88	2005/07/25	110.6037919	350.1087923	22.2715754	0.542239269	1.49	11.41
88	2005/07/29	187.9840565	77.50558756	25.81494798	0.542239269	12.31	761.8
88	2005/08/03	147.7938125	0.545315899	4.123839048	0.271119635	1.74	1.01
88	2005/08/08	110.4627541	0.821267351	0.324734547	0.0339	10.44	4.95
88	2005/08/12	187.8828401	0.022	0.028	0.0339	39.01	2232.69
88	2005/08/17	147.7161908	1.687428777	1.087715884	0.067779909	55.59	7.52
88	2005/08/22	110.4070486	0.022	3.010971414	0.0339	128.33	24.21
88	2005/08/26	187.8428628	0.866161426	4.505329716	0.135559817	93.8	8.95
88	2005/08/31	147.6855327	0.45552775	31.94105349	0.203339726	102.66	449.12
88	2005/09/05	110.3850467	0.022	54.69472656	0.0339	193.2	2712.91
88	2005/09/09	199.6442328	0.9110555	57.0023697	0.067779909	204.33	4468.07
88	2005/09/14	166.4200324	0.022	55.9082012	0.0339	141.82	3.16
88	2005/09/19	131.2566128	0.022	37.95944064	0.0339	224.85	10.58
97	2005/05/25	150	0.022	5.211554932	0.0339	58.81	7.57
97	2005/05/30	150	0.022	40.28933859	0.0339	63.52	1.36
97	2005/06/03	150	0.022	268.4830465	1.897837442	67.55	13.14
97	2005/06/08	150	0.022	7494.104351	0.0339	3.78	0.08
97	2005/06/13	150	0.022	286.2836587	4.337914153	1.09	0.02
97	2005/06/17	150	5.107180405	364.6107901	5.96463196	6.39	1.83
97	2005/06/22	150	141.564441	1514.342806	14.098221	12.02	1.56
97	2005/06/27	150	715.5751934	52.53799392	14.098221	12.02	1.56
97	2005/07/01	150	1186.575664	5.649801723	21.14733149	10.45	2.45
97	2005/07/06	150	974.6311317	36.8243182	55.30840545	1.81	0.27
97	2005/07/11	150	174.0296344	37.40478466	9.760306844	1.36	0.08
97	2005/07/15	150	296.0583754	79.55127309	9.218067575	1.2	0.2
97	2005/07/20	150	761.5037494	40.7843415	7.105991568	1.32	0.12
97	2005/07/25	150	229.3107373	27.34091066	4.637474322	1.04	0.27
97	2005/07/29	150	682.9782599	37.73241615	2.168957076	1.38	0.17
97	2005/08/03	150	273.8865868	51.30226448	2.768077416	1.55	0.005
97	2005/08/08	150	243.2698524	24.12516957	1.355598173	1.99	0.37
97	2005/08/12	150	1120.983766	83.38487891	9.760306844	2.8	0.15
97	2005/08/17	150	876.0693299	102.403315	10.53007039	2.68	0.3
97	2005/08/22	150	187.5769008	52.50059567	4.665914857	3.29	0.26
97	2005/08/26	150	353.5519498	133.198579	9.445591855	17.33	1658.87
97	2005/08/31	150	130.3731546	105.1578957	5.465053494	22.55	2566.01
97	2005/09/05	150	313.6929203	139.2908419	10.97183324	30.51	317.32
97	2005/09/09	150	101.8849877	57.94207203	3.445876502	60.12	543.1
97	2005/09/14	150	290.2114016	85.13786607	9.06071008	110.74	634.29
97	2005/09/19	150	54.66454497	21.87717949	1.038029031	160.22	3020.48
99	2005/05/25	113.2617177	0.022	15.95939934	0.135559817	51.37	0.65
99	2005/05/30	176.9403713	0.022	47.86239584	0.0339	122.8	0.005
99	2005/06/03	139.3245385	0.821267351	177.9184508	0.135559817	77.39	12.14
99	2005/06/08	104.3847445	0.022	245.2348945	0.0339	49.97	0.005
99	2005/06/13	170.5697745	0.022	130.6884043	0.271119635	60.96	5.42
99	2005/06/17	134.4390019	4.927604107	86.19687452	0.271119635	40.45	0.005
99	2005/06/22	100.8786188	1.642534702	95.48486195	0.0339	42.4	1.67
99	2005/06/27	168.0535889	0.022	236.7112059	0.0339	42.4	1.67
99	2005/07/01	132.5093683	0.022	414.0478727	0.352611261	63.93	0.005
99	2005/07/06	99.4938092	13.85858281	2350.100493	2.494923581	28.56	0.67
99	2005/07/11	167.0597745	75.14474767	2177.05202	0.0339	1.7	0.05
99	2005/07/15	131.7472236	619.79094	35.26095727	1.247461791	1.23	0.3
99	2005/07/20	98.94685291	482.0288092	0.454048977	0.542239269	1.59	0.08
99	2005/07/25	166.6672491	658.0386427	154.3092214	47.06996709	3.05	50.99
99	2005/07/29	131.4462004	56.6279252	10.00066526	12.15634592	1.79	0.12
99	2005/08/03	98.73082234	73.33581068	27.90847188	0.271119635	1.27	5.76
99	2005/08/08	166.5122138	13.17199768	30.12196064	0.338899543	2.71	0.71
99	2005/08/12	131.3273057	64.60832637	44.59924819	0.0339	4.27	0.13
99	2005/08/17	98.64549705	95.30410484	28.70305759	6.898483015	14.65	6.54
99	2005/08/22	166.4509798	100.0916547	47.44284818	1.470200695	7.08	9.21
99	2005/08/26	131.280346	180.5997732	30.6198605	5.880802781	11.49	287.29
99	2005/08/31	98.61179624	81.53531018	25.13387452	7.645043615	43.18	5443.07
99	2005/09/05	166.4267943	54.53644975	27.56793515	2.035360469	49.47	732.87
99	2005/09/09	131.2617984	61.65849146	20.70110311	0.0339	48.48	390.8
99	2005/09/14	98.59848548	109.39496	8.443098212	25.91941003	55.19	60.26
99	2005/09/19	166.4172417	96.34447052	12.37151714	49.94098263	179.31	2525.69
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
