TANK	DATES	Cer_ug	Sca_ug	e_chl	i_chl
23	2005/08/17	314.5235262	32.33544941	41.66	5.39
23	2005/08/22	259.972878	53.25067176	57.25	3.56
23	2005/08/26	108.6400749	52.6299101	50.31	0.92
23	2005/08/31	113.9980737	36.71436163	60.56	4.23
23	2005/09/05	71.01084794	13.34572078	68.95	1.86
23	2005/09/09	72.69827671	15.32573243	76.03	16.44
23	2005/09/14	9.110555002	7.468894572	76.53	6.83
23	2005/09/19	8.571826108	2.922610919	43	3.65
25	2005/05/25	0.045	8.443098212	64.64	1.1
25	2005/05/30	0.045	54.52090252	43.54	2.26
25	2005/06/03	0.045	545.7752689	40.7	0.2
25	2005/06/08	0.045	2217.787915	4.37	0.2
25	2005/06/13	0.045	22.80397657	1.97	0.06
25	2005/06/17	3.913586448	34.34706543	13.47	2.62
25	2005/06/22	26.27812532	153.9455092	24.18	6.76
25	2005/06/27	285.9202476	2149.603645	24.18	6.76
25	2005/07/01	193.8162839	20.84621973	1.47	3.06
25	2005/07/06	140.6353516	20.29156375	1.98	0.13
25	2005/07/11	344.9752638	44.79598579	1.58	0.11
25	2005/07/15	293.2378506	60.00399155	1.61	0.26
25	2005/07/20	542.5342531	55.58991927	2.36	0.29
25	2005/07/25	23.8670193	93.4745634	1.85	0.05
25	2005/07/29	336.2502095	29.15710657	2.42	0.36
25	2005/08/03	129.1424685	55.58991927	7.67	20.68
25	2005/08/08	91.38565856	32.43605641	34.24	2.18
25	2005/08/12	59.33231376	22.53599815	52.02	5.08
25	2005/08/17	98.34129798	109.0876321	155.31	19.75
25	2005/08/22	77.19011408	17.06291741	152.54	4.96
25	2005/08/26	18.54854254	18.69593971	116.71	2.39
25	2005/08/31	11.51628897	39.94011103	183.2	8.35
25	2005/09/05	12.71646993	84.51644567	172.88	5.62
25	2005/09/09	10.93925301	89.7783041	139.25	5.31
25	2005/09/14	7.108867703	20.91877804	210.43	17.39
25	2005/09/19	7.384819155	21.12354772	136.89	8.21
47	2005/05/25	0.0339	0.0284	17.3	0.28
47	2005/05/30	0.0339	0.97420364	93.16	5.03
47	2005/06/03	0.0339	3.505974327	93.91	2.94
47	2005/06/08	0.0339	2.629480745	57.76	0.005
47	2005/06/13	0.0339	6.494690932	73.43	34.74
47	2005/06/17	0.0339	0.324734547	41.66	10.17
47	2005/06/22	0.0339	0.324734547	44.6	8.32
47	2005/06/27	9.669044911	2.711388617	44.6	8.32
47	2005/07/01	0.0339	0.056756122	19.38	19.17
47	2005/07/06	3.285069405	0.056756122	30.79	5.54
47	2005/07/11	0.0339	0.0284	64.94	0.44
47	2005/07/15	1.642534702	0.0284	33.66	0.005
47	2005/07/20	0.821267351	0.0284	19.94	0.44
47	2005/07/25	6.204399208	0.0284	160.22	0.97
47	2005/07/29	0.821267351	0.0284	101.99	3.98
47	2005/08/03	0.0339	0.0284	43.68	4.9
47	2005/08/08	0.0339	0.0284	129.36	8.82
47	2005/08/12	2.457215049	0.0284	112.62	3.33
47	2005/08/17	4.106336756	0.0284	77.59	18.21
47	2005/08/22	1.276795101	0.0284	155	7.58
47	2005/08/26	0.0339	0.324734547	120.03	7.24
47	2005/08/31	0.044894075	0.056756122	93.8	4.3
47	2005/09/05	0.044894075	0.0284	133.87	5.58
47	2005/09/09	0.089788149	0.056756122	120.71	3.22
47	2005/09/14	4.054855676	0.056756122	96.27	5.02
47	2005/09/19	0.0339	0.0284	59.5	27.93
63	2005/05/25	0.134682224	17.21093097	144.15	3.59
63	2005/05/30	0.045	0.97420364	140.33	33.24
63	2005/06/03	0.045	995.0124613	36.56	0.005
63	2005/06/08	0.045	775.6678504	1.23	0.61
63	2005/06/13	3.285069405	547.1795601	0.83	0.05
63	2005/06/17	0.045	733.6409225	1.22	0.06
63	2005/06/22	3.285069405	601.5906408	0.97	0.11
63	2005/06/27	0.045	427.568735	0.97	0.11
63	2005/07/01	28.07631822	256.3849049	3.51	0.61
63	2005/07/06	124.5594375	321.4171506	1.76	0.71
63	2005/07/11	52.60408684	132.089267	5.72	6.25
63	2005/07/15	178.6722701	82.9076544	2.97	0.42
63	2005/07/20	259.4150909	53.11846039	1.69	0.12
63	2005/07/25	282.6116412	84.74702584	1.63	0.18
63	2005/07/29	204.6990648	0.0284	1.8	1.03
63	2005/08/03	562.0338854	86.21241473	1.91	0.46
63	2005/08/08	441.1089502	87.2701057	3.11	0.42
63	2005/08/12	303.3468194	59.07271807	2.42	0.38
63	2005/08/17	587.0886144	89.08630161	3.76	1.01
63	2005/08/22	642.970862	214.8820917	3.08	0.07
63	2005/08/26	391.769469	132.366595	3.69	0.2
63	2005/08/31	984.2013716	112.516175	8.19	1.1
63	2005/09/05	1135.769389	113.6138992	22.88	1.96
63	2005/09/09	1171.67288	113.5506904	36.49	2.42
63	2005/09/14	602.8937585	150.205399	62.52	0.46
63	2005/09/19	144.8944044	60.76986983	68.5	9.73
79	2005/05/25	0.0339	0.0284	98.1	3.31
79	2005/05/30	0.0339	0.0284	236.44	10.22
79	2005/06/03	0.0339	0.649469093	221.98	53.2
79	2005/06/08	0.0339	1.030959762	32.93	4.41
79	2005/06/13	3.285069405	0.649469093	56.24	19.4
79	2005/06/17	0.410633676	3.644638321	37.31	8.84
79	2005/06/22	0.410633676	9.46470841	42.17	8.1
79	2005/06/27	0.0339	292.4624407	42.17	8.1
79	2005/07/01	37.93152643	2079.092301	1.92	0.005
79	2005/07/06	50.68630343	2483.05519	1.31	0.18
79	2005/07/11	0.0339	0.0284	1.03	0.16
79	2005/07/15	1885.821183	74.55673435	1.16	0.06
79	2005/07/20	1289.164378	1.816195908	22.82	2.39
79	2005/07/25	534.125375	12.2077014	1.5	0.06
79	2005/07/29	867.7658438	39.34739806	2.18	0.12
79	2005/08/03	574.264513	21.69110894	1.86	0.005
79	2005/08/08	916.5246442	18.3115521	3.09	0.42
79	2005/08/12	1206.118273	16.49535619	3.3	0.19
79	2005/08/17	916.31386	110.2717406	3.33	0.11
79	2005/08/22	821.6694801	47.79629015	2.59	0.32
79	2005/08/26	783.6852576	74.55673435	2.96	0.19
79	2005/08/31	764.5877543	39.09456308	2.44	0.32
79	2005/09/05	705.456505	469.433943	2.42	0.23
79	2005/09/09	425.1530077	45.8162785	2.98	1.99
79	2005/09/14	1043.617589	24.74303429	3.47	5.08
79	2005/09/19	591.4081652	25.87815673	3	0.32
82	2005/05/25	0.045	68.51898933	53.08	1.75
82	2005/05/30	0.045	519.7591069	23.12	0.47
82	2005/06/03	0.045	2132.366642	5.42	0.005
82	2005/06/08	0.045	1923.992955	2.56	0.005
82	2005/06/13	0.045	1152.048612	3.85	0.44
82	2005/06/17	9.855208214	962.4268118	15.51	1.66
82	2005/06/22	26.94616439	744.6697854	39.85	8.2
82	2005/06/27	175.5834054	99.46621934	39.85	8.2
82	2005/07/01	84.75796388	0.227024489	1.75	0.24
82	2005/07/06	134.7620298	0.227024489	2.35	0.49
82	2005/07/11	186.6263233	11.88006991	1.75	0.2
82	2005/07/15	430.8418934	30.97330248	1.3	0.19
82	2005/07/20	281.893336	40.5831275	1.76	0.005
82	2005/07/25	135.1690186	69.2603746	1.36	0.7
82	2005/07/29	102.4500647	179.6843432	1.55	0.1
82	2005/08/03	0.045	10.94036759	2.86	0.005
82	2005/08/08	0.045	0.649469093	5.37	0.39
82	2005/08/12	0.410633676	0.056756122	14.85	1.27
82	2005/08/17	0.45552775	0.0284	49.69	2.78
82	2005/08/22	0.045	0.649469093	44.73	3.23
82	2005/08/26	0.045	0.649469093	34.47	0.71
82	2005/08/31	0.045	0.324734547	45.67	357.18
82	2005/09/05	0.045	0.0284	19.76	2.45
82	2005/09/09	0.045	0.056756122	15.33	157.4
82	2005/09/14	0.045	0.0284	124.93	1520.9
82	2005/09/19	0.045	0.0284	44.75	62.28
85	2005/05/25	0.045	195.1561129	156.51	34.77
85	2005/05/30	0.045	549.5340782	151.45	2.76
85	2005/06/03	0.045	1570.345693	5.8	0.32
85	2005/06/08	0.045	766.5236621	2.29	0.005
85	2005/06/13	0.045	19.62629247	1.95	0.005
85	2005/06/17	1.231901027	8.36119034	7.82	1.36
85	2005/06/22	2.27763875	11.06968202	71.46	18.17
85	2005/06/27	7.082519684	279.0641782	71.46	18.17
85	2005/07/01	145.6440486	374.0014956	1.37	0.21
85	2005/07/06	65.33251582	125.1057638	4.29	0.29
85	2005/07/11	94.69707598	96.60392023	30.67	16.94
85	2005/07/15	230.1559228	124.3988799	1.19	0.42
85	2005/07/20	130.1672303	158.5737007	1.77	0.81
85	2005/07/25	373.2526465	81.74672147	1.26	1.05
85	2005/07/29	232.1000542	96.75351324	1.67	0.11
85	2005/08/03	384.5541848	41.08879746	6.24	0.005
85	2005/08/08	289.7849734	69.99306905	3.31	1.68
85	2005/08/12	322.2238189	52.13556593	6.27	0.51
85	2005/08/17	1765.029275	164.6543759	3.46	0.31
85	2005/08/22	425.9933333	58.90047348	2.29	0.81
85	2005/08/26	472.8080022	102.3645992	2.95	0.33
85	2005/08/31	774.4166145	122.1892088	4.91	0.21
85	2005/09/05	521.8458867	97.30105785	7.12	0.78
85	2005/09/09	278.8190507	120.4807312	12.67	1.92
85	2005/09/14	286.2929553	57.87886328	29.57	1
85	2005/09/19	605.9694493	54.87724143	33.77	5.85
91	2005/05/25	0.045	19.4840728	116.91	11.31
91	2005/05/30	0.045	64.41095247	206.97	17.3
91	2005/06/03	0.045	75.98498696	95.61	0.005
91	2005/06/08	0.045	720.6657634	24.01	0.005
91	2005/06/13	0.045	809.6609499	5.52	1.49
91	2005/06/17	0.045	547.8116475	1.29	0.27
91	2005/06/22	0.045	483.7106753	1.43	0.1
91	2005/06/27	9.855208214	590.8894094	1.43	0.1
91	2005/07/01	31.00223503	315.9864685	1.57	0.26
91	2005/07/06	79.34918675	418.6373485	1.29	0.26
91	2005/07/11	217.2167097	97.00634822	1.64	0.05
91	2005/07/15	0.045	4.886820385	7.58	2.03
91	2005/07/20	1.732322851	0.0284	19.29	0.86
91	2005/07/25	0.045	0.056756122	64.24	4.56
91	2005/07/29	0.045	0.0284	46.91	0.76
91	2005/08/03	0.045	0.0284	30.61	0.22
91	2005/08/08	0.410633676	0.0284	95.53	8.07
91	2005/08/12	0.045	0.0284	68.05	0.61
91	2005/08/17	0.089788149	0.762981337	53.53	6.23
91	2005/08/22	0.045	0.324734547	95.99	6
91	2005/08/26	0.045	0.0284	66.69	8.78
91	2005/08/31	0.045	0.0284	64.92	3.6
91	2005/09/05	0.045	0.0284	100.37	6.27
91	2005/09/09	0.410633676	0.0284	83.84	6.18
91	2005/09/14	0.410633676	0.0284	60.31	0.76
91	2005/09/19	0.045	0.0284	107.99	10.33
					
