TANK	DATES	FLUCT	PRED	Cer_ug	Sca_ug	Dapp_ug	Clad_ug	Cop_ug	e_chl	i_chl
14	2005-05-11	181	1	0.089788149	2.922610919	0.903	0.0339	0.0429	72.61	0.42
14	2005-05-16	134	1	0.022	0.762981337	0.903	0.0339	0.070234633	38.84	3.89
14	2005-05-20	218	1	0.022	5.195752746	0.903	0.0339	0.0429	36.72	0.005
14	2005-05-25	161.0127787	1	0.022	33.12292375	1.991436134	0.0339	0.0429	70.37	18.98
14	2005-05-30	119.9494001	1	0.022	127.2678936	2.177209066	0.0339	0.0429	10.8	3.24
14	2005-06-03	206.9790244	1	0.022	490.4848052	80.60880157	0.406679452	1.472796397	5.75	1.93
14	2005-06-08	152.9372674	1	1.000843649	357.2901787	96.59943981	1.49115799	2.726637151	2.38	0.005
14	2005-06-13	114.1539759	1	8.930978704	61.19073498	12.4242949	2.711196345	0.561877061	1.66	0.005
14	2005-06-17	202.5345809	1	36.44222001	132.6697335	69.67069012	2.168957076	31.24755494	1.78	0.71
14	2005-06-22	149.747694	1	157.4101316	378.7895504	360.062986	5.96463196	47.54044105	1.87	0.21
14	2005-06-27	111.8649653	1	432.2785037	91.5577605	457.1381039	22.7740493	47.54044105	1.87	0.21
14	2005-07-01	200.7791652	1	389.7397529	100.8893165	269.7469929	16.13807348	13.4751817	2.37	0.13
14	2005-07-06	148.4879127	1	1057.288925	111.961519	468.7909749	11.38702465	8.601088539	3.56	0.37
14	2005-07-11	110.960878	1	466.4604161	102.351694	335.1577318	4.337914153	23.06887924	2	0.16
14	2005-07-15	188.2403208	1	646.4306478	54.68182132	203.9003944	1.084478538	20.37447474	2.24	0.16
14	2005-07-20	147.9903386	1	781.530342	30.5192535	171.2043584	4.337914153	8.163177253	2.42	0.05
14	2005-07-25	110.6037919	1	708.4683746	20.45537949	320.115965	1.626717807	0.561877061	1.7	0.16
14	2005-07-29	187.9840565	1	344.5634152	5.195752746	56.71156796	0.542239269	6.791491579	2.11	0.16
14	2005-08-03	147.7938125	1	597.9685844	354.7818455	0.903	3.253435615	0.0429	2.1	0.1
14	2005-08-08	110.4627541	1	462.5721532	23.76013982	0.903	1.084478538	7.172373882	2.64	0.23
14	2005-08-12	187.8828401	1	277.1716562	25.19708326	0.903	1.084478538	8.601088539	2.44	0.08
14	2005-08-17	147.7161908	1	550.2442654	74.80956933	0.903	4.337914153	7.866278858	3.26	0.39
14	2005-08-22	110.4070486	1	462.8522618	29.61115554	13.16738663	4.609033787	9.675101484	3.22	0.32
14	2005-08-26	187.8428628	1	765.2533635	11.88006991	43.33591686	4.880153422	5.205342749	2.84	0.13
14	2005-08-31	147.6855327	1	429.1515225	43.63505285	34.83534506	10.30254611	3.395745789	3.63	0.25
14	2005-09-05	110.3850467	1	493.5216922	22.2715754	20.39003944	3.795674884	10.18723737	3.82	0.75
14	2005-09-09	199.6442328	1	597.978304	53.77372336	108.9645856	4.880153422	11.09652834	3.52	0.21
14	2005-09-14	166.4200324	1	749.187169	93.7763844	405.3016152	7.591349767	1.371685675	5.97	0.36
14	2005-09-19	131.2566128	1	649.7059976	30.5192535	280.8220695	9.760306844	13.58298316	6.46	2.1
15	2005-05-11	150	1	0.022	1.298938186	0.903	0.0339	0.085730355	52.02	4.53
15	2005-05-16	150	1	0.022	1.623672733	0.903	0.0339	0.564937	87.16	57.57
15	2005-05-20	150	1	0.410633676	8.118363665	0.903	0.0339	0.751894	100.08	15.21
15	2005-05-25	150	1	0.022	12.01517822	0.903	0.478481236	1.191857866	133.18	23.6
15	2005-05-30	150	1	0.022	7.727523433	3.611326405	3.764836668	1.359135026	99.71	5.32
15	2005-06-03	150	1	0.45552775	22.5331012	0.903	0.153510263	0.793031808	138.93	25.8
15	2005-06-08	150	1	0.022	208.1403597	11.94861681	12.97738106	7.67862084	89.53	1.52
15	2005-06-13	150	1	9.393093459	231.0743094	54.84227492	79.42268821	17.45753949	1.66	0.11
15	2005-06-17	150	1	23.16188812	57.27074489	107.418756	205.7418429	65.23534074	0.98	0.3
15	2005-06-22	150	1	41.1399817	234.5428855	115.5032958	144.9945378	47.5435925	0.81	0.05
15	2005-06-27	150	1	59.13124928	154.0447987	414.3370143	418.2956724	46.40444522	0.81	0.05
15	2005-07-01	150	1	40.87061725	83.42227716	132.2370258	134.6799153	37.21156869	1.24	0.1
15	2005-07-06	150	1	42.87889155	63.17588177	186.2616482	239.5433736	18.25213362	1.22	0.04
15	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	0.0429	1.08	0.14
15	2005-07-15	150	1	56.56448507	68.90693262	408.2739821	470.5452943	70.65828714	1.16	0.07
15	2005-07-20	150	1	18.24745802	15.196418	164.1000039	254.2948274	13.25679594	1.29	0.005
15	2005-07-25	150	1	64.57123426	53.44609188	267.4464184	437.2000969	42.80088735	1.05	0.1
15	2005-07-29	150	1	41.93490103	33.89881034	36.32152852	184.4814746	57.49956249	1.4	0.16
15	2005-08-03	150	1	164.7658511	45.52604527	96.12376171	183.3425498	25.81101484	1.31	0.12
15	2005-08-08	150	1	109.6858126	48.57797062	79.65744538	140.8325841	23.19376785	1.7	0.08
15	2005-08-12	150	1	435.9851415	33.77239285	79.65744538	204.7428497	16.3932913	1.81	0.04
15	2005-08-17	150	1	796.8255352	64.16522886	531.9204699	768.8020178	24.89980641	2.61	0.86
15	2005-08-22	150	1	397.7208104	25.5879235	234.3055213	439.3260625	16.4267597	3.01	0.71
15	2005-08-26	150	1	410.1559569	44.14519921	331.7521851	539.6506579	18.33405541	2.84	0.38
15	2005-08-31	150	1	250.6134224	37.05134268	420.9798568	613.1313674	24.36733741	3.43	0.39
15	2005-09-05	150	1	325.3750993	27.11388617	661.3933933	906.4305984	31.97677399	4.34	0.72
15	2005-09-09	150	1	232.8544271	42.56893304	1093.846189	1363.771236	18.21148607	3.45	0.56
15	2005-09-14	150	1	65.88096439	36.20645348	2078.074666	2296.946069	10.0514913	4.33	0.3
15	2005-09-19	150	1	58.20701977	35.62019313	1080.307256	1187.583359	13.96998632	5.14	44.63
20	2005-05-11	181	2.718281828	0.022	0.324734547	0.903	0.0339	0.0429	178.24	13.69
20	2005-05-16	134	2.718281828	0.022	0.0284	0.903	0.0339	0.085730355	149.26	0.005
20	2005-05-20	218	2.718281828	0.022	0.0284	0.903	0.0339	0.0429	125.46	1.26
20	2005-05-25	161.0127787	2.718281828	0.022	0.056756122	0.903	0.153510263	0.085730355	184.3	0.005
20	2005-05-30	119.9494001	2.718281828	0.022	0.706225215	1.805663202	1.891393557	0.934666802	135.21	1.4
20	2005-06-03	206.9790244	2.718281828	0.022	8.197374596	8.337290401	8.608410036	0.0429	108.54	6.39
20	2005-06-08	152.9372674	2.718281828	0.022	0.649469093	1.805663202	1.805663202	0.0429	110.55	12.04
20	2005-06-13	114.1539759	2.718281828	0.9110555	0.649469093	177.052043	180.034655	5.886109624	4.41	0.08
20	2005-06-17	202.5345809	2.718281828	3.285069405	0.0284	84.27927714	89.59455913	19.32273337	1.11	0.27
20	2005-06-22	149.747694	2.718281828	0.022	0.0284	0.903	0.0339	0.0429	9.97	0.79
20	2005-06-27	111.8649653	2.718281828	10.03478451	2.597876373	15.93148908	59.48250924	583.4746007	9.97	0.79
20	2005-07-01	200.7791652	2.718281828	12.81284509	0.0284	1.805663202	1.805663202	22.92128408	1.45	0.01
20	2005-07-06	148.4879127	2.718281828	7.288444002	264.833797	1060.868573	1060.868573	0.0429	10.44	0.91
20	2005-07-11	110.960878	2.718281828	44.4489692	3.05192535	0.903	10.28764256	101.9727789	6.05	2.16
20	2005-07-15	188.2403208	2.718281828	212.2197812	0.0284	0.903	71.94169613	247.6629971	5.59	0.005
20	2005-07-20	147.9903386	2.718281828	708.0329889	0.0284	0.903	28.16663489	54.53274301	4.22	0.33
20	2005-07-25	110.6037919	2.718281828	325.2648474	0.0284	0.903	49.31633428	73.2584493	2.58	0.61
20	2005-07-29	187.9840565	2.718281828	399.9353307	0.0284	0.903	23.47716359	14.84061087	2.23	0.25
20	2005-08-03	147.7938125	2.718281828	924.1292644	0.0284	0.903	38.1348953	30.14361644	2.05	0.15
20	2005-08-08	110.4627541	2.718281828	204.8952695	0.0284	7.22265281	44.06629995	35.60587572	2.41	0.23
20	2005-08-12	187.8828401	2.718281828	748.5312796	0.0284	0.903	40.71739164	19.17013105	2.34	0.08
20	2005-08-17	147.7161908	2.718281828	357.6607165	0.908097954	0.903	54.06541979	9.601799722	2.1	0.36
20	2005-08-22	110.4070486	2.718281828	65.28953946	0.0284	0.903	22.63967343	12.50826468	2.57	0.17
20	2005-08-26	187.8428628	2.718281828	228.6451282	1.298938186	0.903	115.2419322	3.069558569	2.15	0.18
20	2005-08-31	147.6855327	2.718281828	144.2580854	0.0284	0.903	81.60701	5.093618684	2.62	13.77
20	2005-09-05	110.3850467	2.718281828	180.7793495	0.0284	0.903	41.22627195	3.069558569	2.4	0.33
20	2005-09-09	199.6442328	2.718281828	195.6148578	1.298938186	0.903	131.5091103	21.74616041	29.56	1317.16
20	2005-09-14	166.4200324	2.718281828	521.423294	0.0284	0.903	72.88410314	10.940017	29.77	9969.68
20	2005-09-19	131.2566128	2.718281828	76.67894817	0.649469093	1.805663202	23.77253441	3.245202828	3.79	2.4
24	2005-05-11	181	1	0.022	0.324734547	0.903	0.0339	0.848936	38.75	1.31
24	2005-05-16	134	1	0.821267351	1.623672733	0.903	0.0339	0.140469	40.97	16.23
24	2005-05-20	218	1	0.45552775	0.97420364	0.903	0.0339	2.352724	44.33	6.29
24	2005-05-25	161.0127787	1	1.231901027	7.371184514	1.805663202	1.94122302	0.848936447	67.65	3.4
24	2005-05-30	119.9494001	1	0.9110555	29.10035045	0.903	0.871232117	0.670347115	31.43	0.005
24	2005-06-03	206.9790244	1	3.509539777	166.9571459	0.903	2.18002948	5.365722606	34.57	3.98
24	2005-06-08	152.9372674	1	21.865332	899.3661642	7.965744538	27.95680568	14.20684311	3.19	0.005
24	2005-06-13	114.1539759	1	45.96340869	2.273141826	9.214088944	38.20797387	18.92254556	1.51	0.01
24	2005-06-17	202.5345809	1	149.1198195	8.783634944	450.2470408	1051.004629	199.7252286	1.24	0.17
24	2005-06-22	149.747694	1	232.6065508	25.58212961	37.33203387	135.7913583	60.0750994	1.46	0.005
24	2005-06-27	111.8649653	1	478.0996188	45.09780678	84.4793403	209.4604854	63.4428256	1.46	0.005
24	2005-07-01	200.7791652	1	333.2452486	19.93812177	79.44918091	153.5895048	28.86383921	2.95	0.11
24	2005-07-06	148.4879127	1	622.0727358	24.28898531	266.7033267	551.8583804	23.77022053	3.91	0.67
24	2005-07-11	110.960878	1	0.022	0.0284	0.903	0.0339	0.0429	2.36	0.08
24	2005-07-15	188.2403208	1	1085.404122	68.45288365	63.7259563	243.8734227	40.88282306	2.45	0.38
24	2005-07-20	147.9903386	1	952.248559	56.49801723	0.903	125.9209911	19.24139478	3.26	0.22
24	2005-07-25	110.6037919	1	787.7843046	48.57797062	237.0696237	438.5860753	17.45010863	1.91	0.08
24	2005-07-29	187.9840565	1	481.5642645	51.95752746	28.89061124	93.24792481	4.115057024	1.86	0.1
24	2005-08-03	147.7938125	1	411.1724045	66.59928948	60.01049766	83.7283445	1.414602906	1.33	0.18
24	2005-08-08	110.4627541	1	153.701445	15.65046698	0.903	18.6684511	0.685842837	1.51	0.02
24	2005-08-12	187.8828401	1	385.6316426	47.66987266	0.903	7.818874048	0.0429	1.8	0.04
24	2005-08-17	147.7161908	1	378.8077433	61.94660495	0.903	90.96980319	13.58298316	2.26	0.23
24	2005-08-22	110.4070486	1	126.8528707	44.50443507	0.903	86.29729191	23.09134104	2.42	0.2
24	2005-08-26	187.8428628	1	81.18274459	25.02036227	2.177209066	86.03453249	45.46477398	266.29	9733.16
24	2005-08-31	147.6855327	1	110.6903011	27.5427834	0.903	86.94366554	54.61921391	242.4	9757.05
24	2005-09-05	110.3850467	1	24.4123352	6.608203176	0.903	32.14773367	40.67839375	3.37	3516.87
24	2005-09-09	199.6442328	1	54.67771898	21.63435281	0.903	35.04410055	27.69746099	4.54	9994.91
24	2005-09-14	166.4200324	1	195.8249393	17.41280371	0.903	120.0813827	90.29054322	31.27	8812.15
24	2005-09-19	131.2566128	1	184.1661661	14.41763448	2.177209066	57.41879638	36.95153726	3.59	5.09
55	2005-05-11	150	1	0.022	7.144160025	5.416989607	0.0339	0.0429	13.39	0.02
55	2005-05-16	150	1	0.022	14.28832005	1.805663202	0.0339	0.510199	29.83	1.97
55	2005-05-20	150	1	0.022	35.07133103	0.903	0.0339	0.241695	88.31	0.005
55	2005-05-25	150	1	0.821267351	83.63349947	3.611326405	4.011344668	2.756930376	104.56	11.49
55	2005-05-30	150	1	0.044894075	103.5348817	3.611326405	4.359111007	0.666163566	106.64	16.55
55	2005-06-03	150	1	1.642534702	867.1492274	43.97285263	55.4515049	6.791491579	67.55	1.44
55	2005-06-08	150	1	21.14702681	3165.014086	59.10227444	284.2960205	13.58298316	1.47	0.32
55	2005-06-13	150	1	14.11477325	1.980011652	328.6307028	381.4877406	22.7110693	1.56	0.34
55	2005-06-17	150	1	40.85744324	0.454048977	660.4420371	874.9260968	157.038507	1.61	1.01
55	2005-06-22	150	1	132.8393866	35.58858875	370.765311	571.1662948	74.68776816	1.18	0.11
55	2005-06-27	150	1	104.7103723	62.02140146	135.9524844	188.0732026	47.54044105	1.18	0.11
55	2005-07-01	150	1	126.1638557	123.2753452	310.5740708	378.1037505	31.99304921	1.77	0.21
55	2005-07-06	150	1	0.022	0.0284	0.903	0.0339	0.0429	2.02	0.37
55	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	0.0429	1.41	0.08
55	2005-07-15	150	1	689.0408777	69.3609816	92.61656754	230.9117302	20.37447474	1.67	0.08
55	2005-07-20	150	1	871.4627619	79.75248709	442.2762693	578.8338761	50.2838124	2.11	0.09
55	2005-07-25	150	1	852.8727796	79.75248709	262.9878681	381.2234533	17.51704542	1.5	0.09
55	2005-07-29	150	1	450.9738781	48.57797062	31.86297815	92.82777382	17.26911387	2.68	0.19
55	2005-08-03	150	1	1032.124706	73.64863639	300.79558	383.8268845	5.486742698	1.95	0.65
55	2005-08-08	150	1	448.3973942	32.08261443	251.9314583	350.5963355	22.68891978	2.89	0.04
55	2005-08-12	150	1	742.0041171	39.09456308	454.9987948	587.1422056	21.06930255	3.09	0.8
55	2005-08-17	150	1	523.245405	59.87757406	892.1633882	953.6595882	0.0429	4.17	0.88
55	2005-08-22	150	1	148.1609278	35.36156427	1079.327568	1292.37534	9.258878303	4.41	0.46
55	2005-08-26	150	1	65.70138809	29.32092231	1255.317039	1434.771821	6.962867074	4.75	0.58
55	2005-08-31	150	1	16.42534702	34.71209517	524.207973	666.2103363	5.985240433	4.17	1.35
55	2005-09-05	150	1	0.022	13.80911932	67.54554717	139.513472	1.756795355	3.59	0.55
55	2005-09-09	150	1	0.9110555	18.29864685	310.1433758	391.7318135	8.033321331	3.62	6.95
55	2005-09-14	150	1	1.822111	11.83556029	390.5439129	452.089985	9.849185862	5.49	9.12
55	2005-09-19	150	1	1.642534702	10.84555447	654.9138322	799.4545326	1.278711343	4.38	18.02
64	2005-05-11	150	1	0.022	0.0284	0.903	0.0339	0.0429	28.43	0.005
64	2005-05-16	150	1	0.022	0.324734547	0.903	0.0339	0.0429	61.37	0.005
64	2005-05-20	150	1	0.022	0.0284	0.903	0.0339	0.0429	85.92	18.55
64	2005-05-25	150	1	0.022	0.324734547	0.903	0.0339	0.0429	50.31	10.65
64	2005-05-30	150	1	0.022	0.170268366	0.903	0.0339	0.0429	38.91	9.86
64	2005-06-03	150	1	0.022	0.0284	0.903	0.0339	0.0429	98.66	11.7
64	2005-06-08	150	1	0.022	1.25798425	0.903	0.0339	0.0429	19.55	9.99
64	2005-06-13	150	1	0.022	5.779116153	1.805663202	0.067779909	0.0429	35.8	23.06
64	2005-06-17	150	1	0.022	0.706225215	0.903	0.0339	0.0429	24.24	2.85
64	2005-06-22	150	1	0.044894075	0.97420364	0.903	0.271119635	2.546809342	41.32	0.92
64	2005-06-27	150	1	0.022	5.195752746	0.903	0.271119635	218.0625025	41.32	0.92
64	2005-07-01	150	1	6.570138809	100.5354981	0.903	0.0339	1442.872424	8.72	9.22
64	2005-07-06	150	1	6.570138809	426.0517251	0.903	1.084478538	621.73168	12.98	2.96
64	2005-07-11	150	1	26.28055524	1566.496277	0.903	4.337914153	804.7108119	27.28	1.15
64	2005-07-15	150	1	5.74644154	2363.009808	0.903	17.35165661	1452.108436	11.38	0.39
64	2005-07-20	150	1	0.022	1130.20264	0.903	21.68957076	170.2756627	8.77	0.06
64	2005-07-25	150	1	0.022	259.7902722	0.903	51.7838502	12.8385268	22.88	0.8
64	2005-07-29	150	1	0.718305193	217.5663523	0.903	133.3908602	303.5964335	73.03	18.13
64	2005-08-03	150	1	6.570138809	216.6582544	0.903	107.3633753	528.2610795	36.33	10
64	2005-08-08	150	1	0.359152596	85.32749231	14.44530562	51.51273056	180.8292067	36.82	7.55
64	2005-08-12	150	1	3.644222001	119.7693709	0.903	93.26515428	34.34732517	51.58	1.8
64	2005-08-17	150	1	0.359152596	211.7954031	0.903	228.5123876	50.91262626	53.08	4.68
64	2005-08-22	150	1	0.022	164.2092797	1010.906465	108.9900931	28.86383921	14.99	0.53
64	2005-08-26	150	1	3.464645703	29.67436429	287.3016306	57.47736252	10.18723737	3.12	0.79
64	2005-08-31	150	1	0.022	33.38155261	277.1066109	10.03142648	2.040794313	2.9	56.86
64	2005-09-05	150	1	0.089788149	17.09452178	213.2765224	1.626717807	0.0429	1.49	0.94
64	2005-09-09	150	1	0.022	4.253153478	27.66475837	3.117875797	2.726637151	13.25	2159.42
64	2005-09-14	150	1	0.821267351	8.701727073	55.25495908	5.015713239	2.805238883	18.47	1209.53
64	2005-09-19	150	1	0.022	5.28411324	35.7937843	2.846756163	2.310536026	8.5	194.95
72	2005-05-11	181	1	0.022	0.324734547	3.611326405	0.0339	0.140469	30.06	5.28
72	2005-05-16	134	1	0.044894075	2.922610919	3.611326405	0.0339	1.090632	20.57	0.005
72	2005-05-20	218	1	0.022	6.169956385	0.903	0.0339	0.93885	31.29	0.005
72	2005-05-25	161.0127787	1	1.642534702	12.56693726	3.611326405	3.936297377	2.236002489	93.72	0.005
72	2005-05-30	119.9494001	1	5.472920006	83.18656185	23.47362163	28.33107963	9.097844055	18.26	0.005
72	2005-06-03	206.9790244	1	17.69555512	296.6733228	94.84584272	105.3277298	9.50976163	8.03	1.4
72	2005-06-08	152.9372674	1	71.62740593	489.2704099	142.9661427	264.3973052	1.123754123	4.36	0.12
72	2005-06-13	114.1539759	1	410.1545514	27.56793515	959.5926049	1001.729467	6.841694174	2.24	0.17
72	2005-06-17	202.5345809	1	313.3074197	16.04130721	674.6659962	787.1799189	1.123754123	2.87	0.06
72	2005-06-22	149.747694	1	168.2041488	29.73757303	654.4973032	733.8067383	59.80502256	9.88	151.31
72	2005-06-27	111.8649653	1	45.88557959	49.51187906	379.9523729	510.2109819	63.77396428	9.88	151.31
72	2005-07-01	200.7791652	1	228.1542355	24.5160098	542.4420525	590.1433372	24.3252712	24.89	273.04
72	2005-07-06	148.4879127	1	0.022	0.0284	0.903	0.0339	0.0429	4.88	0.26
72	2005-07-11	110.960878	1	0.022	0.0284	0.903	0.0339	0.0429	14	106.99
72	2005-07-15	188.2403208	1	186.4779548	7.793629118	47.79446723	183.9549387	128.7432873	5.3	19.46
72	2005-07-20	147.9903386	1	496.3519366	84.94823984	0.903	155.8698563	340.0412908	11.51	62.46
72	2005-07-25	110.6037919	1	876.4714589	22.59920689	57.78122248	141.86522	200.8451399	10.28	55.05
72	2005-07-29	187.9840565	1	333.8318137	38.18646513	31.86297815	92.6926692	123.013556	6.19	1.13
72	2005-08-03	147.7938125	1	548.1947419	7.793629118	15.93148908	100.7633115	145.3934951	11.3	114.45
72	2005-08-08	110.4627541	1	557.005749	0.908097954	86.67183372	114.5512615	70.06633602	5.87	0.42
72	2005-08-12	187.8828401	1	670.8530244	17.40345415	43.7524458	69.46291647	53.11209049	14.71	421.07
72	2005-08-17	147.7161908	1	1229.22887	6.1038507	606.702836	654.841694	169.8542263	7.49	0.7
72	2005-08-22	110.4070486	1	470.7633386	15.53695474	135.1052604	157.5566649	41.25829004	5.38	0.26
72	2005-08-26	187.8428628	1	486.4762647	12.45342502	263.4635462	293.9476206	50.52624097	4.5	0.18
72	2005-08-31	147.6855327	1	797.2373839	26.26899696	456.9298394	516.7385745	56.35319743	5.06	0.17
72	2005-09-05	110.3850467	1	703.5865578	22.66241564	695.9021755	773.5034847	58.87265923	5.24	0.66
72	2005-09-09	199.6442328	1	398.2595393	13.62015183	300.2607528	409.4315251	31.09166148	4.37	0.71
72	2005-09-14	166.4200324	1	595.3110076	14.80557777	1098.557987	1197.350628	14.2403115	7.43	0.83
72	2005-09-19	131.2566128	1	270.8864858	21.26866433	1470.732871	1551.160012	17.48722093	7.55	0.72
89	2005-05-11	150	2.718281828	0.022	0.0284	0.903	0.0339	0.0429	9.68	1.63
89	2005-05-16	150	2.718281828	0.022	0.762981337	0.903	0.0339	0.0429	51.33	0.005
89	2005-05-20	150	2.718281828	0.089788149	0.0284	0.903	0.0339	0.0429	95.23	20.06
89	2005-05-25	150	2.718281828	0.022	0.649469093	1.805663202	1.873443111	0.0429	28.04	12.9
89	2005-05-30	150	2.718281828	0.022	2.500166315	3.982872269	3.982872269	0.0429	18.49	0.005
89	2005-06-03	150	2.718281828	0.022	9.64432634	3.797099337	3.864879245	0.424468224	45.67	1.8
89	2005-06-08	150	2.718281828	0.022	30.97330248	307.8407854	308.9252639	0.0429	28.28	0.8
89	2005-06-13	150	2.718281828	0.022	6.475991805	428.6190385	431.8724741	0.848936447	3.25	0.17
